USCIS ID,Question,Option A,Option B,Option C,Option D,Correct Option,Official Answer,Visual Memory Hook URL,Why This Answer?,Topic,Sub-Topic
103,"What was the Great Depression?","✓ Longest economic recession in modern history","Not provided","Not provided","Not provided",A,"Longest economic recession in modern history",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/2158d3381_generated_image.png,"","American History","Recent History & Other"
104,"When did the Great Depression start?","✓ Stock market crash of 1929","Not provided","Not provided","Not provided",A,"Stock market crash of 1929",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/29655bbd5_generated_image.png,"","American History","Recent History & Other"
105,"Who was president during the Great Depression and World War II?","✓ (Franklin) Roosevelt","Not provided","Not provided","Not provided",A,"(Franklin) Roosevelt",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/628cc59b6_generated_image.png,"","American History","Recent History & Other"
106,"Why did the United States enter World War II?","✓ Japanese attacked Pearl Harbor","Not provided","Not provided","Not provided",A,"Japanese attacked Pearl Harbor",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/037beb25c_generated_image.png,"","American History","Recent History & Other"
107,"Dwight Eisenhower is famous for many things. Name one.","✓ General during World War II","Not provided","Not provided","Not provided",A,"General during World War II",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/063de1298_generated_image.png,"","American History","Recent History & Other"
108,"Who was the United States’ main rival during the Cold War?","✓ Soviet Union","Not provided","Not provided","Not provided",A,"Soviet Union",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/d31e2a847_generated_image.png,"","American History","Recent History & Other"
109,"During the Cold War, what was one main concern of the United States?","✓ Communism","Not provided","Not provided","Not provided",A,"Communism",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/9ccdc5c2a_generated_image.png,"","American History","Recent History & Other"
110,"Why did the United States enter the Korean War?","✓ To stop the spread of communism","Not provided","Not provided","Not provided",A,"To stop the spread of communism",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cbb8b6b13_generated_image.png,"","American History","Recent History & Other"
111,"Why did the United States enter the Vietnam War?","✓ To stop the spread of communism","Not provided","Not provided","Not provided",A,"To stop the spread of communism",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/b35ccd4fa_generated_image.png,"","American History","Recent History & Other"
112,"What did the civil rights movement do?","✓ Fought to end racial discrimination","Not provided","Not provided","Not provided",A,"Fought to end racial discrimination",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/ad72319e3_generated_image.png,"","American History","Recent History & Other"
113,"Martin Luther King, Jr. is famous for many things. Name one.","✓ Fought for civil rights","Not provided","Not provided","Not provided",A,"Fought for civil rights",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/7454c7bd0_generated_image.png,"","American History","Recent History & Other"
114,"Why did the United States enter the Persian Gulf War?","✓ To force the Iraqi military from Kuwait","Not provided","Not provided","Not provided",A,"To force the Iraqi military from Kuwait",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/31f97ab57_generated_image.png,"","American History","Recent History & Other"
115,"What major event happened on September 11, 2001 in the United States?","✓ Terrorists attacked the United States","Not provided","Not provided","Not provided",A,"Terrorists attacked the United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a51eb401f_generated_image.png,"","American History","Recent History & Other"
116,"Name one U.S. military conflict after the September 11, 2001 attacks.","✓ War in Afghanistan","Not provided","Not provided","Not provided",A,"War in Afghanistan",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/4a221a8d2_generated_image.png,"","American History","Recent History & Other"
117,"Name one American Indian tribe in the United States.","✓ Navajo","Not provided","Not provided","Not provided",A,"Navajo",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/35c588127_generated_image.png,"","American History","Recent History & Other"
118,"Name one example of an American innovation.","✓ Light bulb","Not provided","Not provided","Not provided",A,"Light bulb",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/8eec11482_generated_image.png,"","American History","Recent History & Other"
119,"What is the capital of the United States?","✓ Washington, D.C.","Not provided","Not provided","Not provided",A,"Washington, D.C.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0ba70739f_generated_image.png,"","Symbols & Holidays","Symbols"
120,"Where is the Statue of Liberty?","✓ New York (Harbor)","Not provided","Not provided","Not provided",A,"New York (Harbor)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/3fff15221_generated_image.png,"","Symbols & Holidays","Symbols"
121,"Why does the flag have 13 stripes?","✓ Because there were 13 original colonies","Not provided","Not provided","Not provided",A,"Because there were 13 original colonies",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/1c3341ef3_generated_image.png,"","Symbols & Holidays","Symbols"
122,"Why does the flag have 50 stars?","✓ Because there are 50 states","Not provided","Not provided","Not provided",A,"Because there are 50 states",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0596d86ce_generated_image.png,"","Symbols & Holidays","Symbols"
123,"What is the name of the national anthem?","✓ The Star-Spangled Banner","Not provided","Not provided","Not provided",A,"The Star-Spangled Banner",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0fc936436_generated_image.png,"","Symbols & Holidays","Symbols"
124,"The Nation’s first motto was “E Pluribus Unum.” What does that mean?","✓ Out of many, one","Not provided","Not provided","Not provided",A,"Out of many, one",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/c6847f974_generated_image.png,"","Symbols & Holidays","Symbols"
125,"What is Independence Day?","✓ A holiday to celebrate U.S. independence (from Britain)","Not provided","Not provided","Not provided",A,"A holiday to celebrate U.S. independence (from Britain)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/6ad95a5d5_generated_image.png,"","Symbols & Holidays","Holidays"
126,"Name three national U.S. holidays.","✓ Independence Day","Not provided","Not provided","Not provided",A,"Independence Day",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/4c8398397_generated_image.png,"","Symbols & Holidays","Holidays"
127,"What is Memorial Day?","✓ A holiday to honor soldiers who died in military service","Not provided","Not provided","Not provided",A,"A holiday to honor soldiers who died in military service",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/5253c2b7e_generated_image.png,"","Symbols & Holidays","Holidays"
128,"What is Veterans Day?","✓ A holiday to honor people who have served (in the U.S. military)","Not provided","Not provided","Not provided",A,"A holiday to honor people who have served (in the U.S. military)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/77d0b5de4_generated_image.png,"","Symbols & Holidays","Holidays"
